datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,reduce_type,learn_adjacency,tie_embeddings,tie_aggregator,size_of_cpt,num_edges,max_parents,numparams
data/0,10,16,mlp,1,1,mean,True,True,False,62,9,3,948
data/0,10,16,mlp,1,1,mean,False,True,,62,9,3,848
data/0,10,16,mlp,1,1,sum,True,True,True,62,9,3,948
data/0,10,16,mlp,1,1,sum,True,True,False,62,9,3,948
data/0,10,16,mlp,1,1,sum,False,True,,62,9,3,848
data/0,10,16,mlp,1,2,mean,True,True,True,62,9,3,1048
data/0,10,16,mlp,1,2,mean,True,True,False,62,9,3,1048
data/0,10,16,mlp,1,2,sum,True,True,True,62,9,3,1048
data/0,10,16,mlp,1,2,sum,True,True,False,62,9,3,1048
data/0,10,16,mlp,1,4,mean,True,True,True,62,9,3,1248
data/0,10,16,mlp,1,4,mean,True,True,False,62,9,3,1248
data/0,10,16,mlp,1,4,sum,True,True,True,62,9,3,1248
data/0,10,16,mlp,1,4,sum,True,True,False,62,9,3,1248
data/0,10,16,mlp,1,1,mean,True,False,True,62,9,3,1380
data/0,10,16,mlp,1,1,mean,True,False,False,62,9,3,1380
data/0,10,16,mlp,1,1,mean,False,False,,62,9,3,1280
data/0,10,16,mlp,1,1,sum,True,False,True,62,9,3,1380
data/0,10,16,mlp,1,1,sum,True,False,False,62,9,3,1380
data/0,10,16,mlp,1,1,sum,False,False,,62,9,3,1280
data/0,10,16,mlp,1,2,mean,True,False,True,62,9,3,1480
data/0,10,16,mlp,1,2,mean,True,False,False,62,9,3,1480
data/0,10,16,mlp,1,2,sum,True,False,True,62,9,3,1480
data/0,10,16,mlp,1,2,sum,True,False,False,62,9,3,1480
data/0,10,16,mlp,1,4,mean,True,False,True,62,9,3,1680
data/0,10,16,mlp,1,4,mean,True,False,False,62,9,3,1680
data/0,10,16,mlp,1,4,sum,True,False,True,62,9,3,1680
data/0,10,16,mlp,1,4,sum,True,False,False,62,9,3,1680
data/0,10,16,mlp,2,1,mean,True,True,True,62,9,3,1556
data/0,10,16,mlp,2,1,mean,True,True,False,62,9,3,1656
data/0,10,16,mlp,2,1,mean,False,True,,62,9,3,1456
data/0,10,16,mlp,2,1,sum,True,True,True,62,9,3,1556
data/0,10,16,mlp,2,1,sum,True,True,False,62,9,3,1656
data/0,10,16,mlp,2,1,sum,False,True,,62,9,3,1456
data/0,10,16,mlp,2,2,mean,True,True,True,62,9,3,1656
data/0,10,16,mlp,2,2,mean,True,True,False,62,9,3,1856
data/0,10,16,mlp,2,2,sum,True,True,True,62,9,3,1656
data/0,10,16,mlp,2,2,sum,True,True,False,62,9,3,1856
data/0,10,16,mlp,2,4,mean,True,True,True,62,9,3,1856
data/0,10,16,mlp,2,4,mean,True,True,False,62,9,3,2256
data/0,10,16,mlp,2,4,sum,True,True,True,62,9,3,1856
data/0,10,16,mlp,2,4,sum,True,True,False,62,9,3,2256
data/0,10,16,mlp,2,1,mean,True,False,True,62,9,3,1988
data/0,10,16,mlp,2,1,mean,True,False,False,62,9,3,2088
data/0,10,16,mlp,2,1,mean,False,False,,62,9,3,1888
data/0,10,16,mlp,2,1,sum,True,False,True,62,9,3,1988
data/0,10,16,mlp,2,1,sum,True,False,False,62,9,3,2088
data/0,10,16,mlp,2,1,sum,False,False,,62,9,3,1888
data/0,10,16,mlp,2,2,mean,True,False,True,62,9,3,2088
data/0,10,16,mlp,2,2,mean,True,False,False,62,9,3,2288
data/0,10,16,mlp,2,2,sum,True,False,True,62,9,3,2088
data/0,10,16,mlp,2,2,sum,True,False,False,62,9,3,2288
data/0,10,16,mlp,2,4,mean,True,False,True,62,9,3,2288
data/0,10,16,mlp,2,4,mean,True,False,False,62,9,3,2688
data/0,10,16,mlp,2,4,sum,True,False,True,62,9,3,2288
data/0,10,16,mlp,2,4,sum,True,False,False,62,9,3,2688
data/0,10,16,mlp,4,1,mean,True,True,True,62,9,3,2772
data/0,10,16,mlp,4,1,mean,True,True,False,62,9,3,3072
data/0,10,16,mlp,4,1,mean,False,True,,62,9,3,2672
data/0,10,16,mlp,4,1,sum,True,True,True,62,9,3,2772
data/0,10,16,mlp,4,1,sum,True,True,False,62,9,3,3072
data/0,10,16,mlp,4,1,sum,False,True,,62,9,3,2672
data/0,10,16,mlp,4,2,mean,True,True,True,62,9,3,2872
data/0,10,16,mlp,4,2,mean,True,True,False,62,9,3,3472
data/0,10,16,mlp,4,2,sum,True,True,True,62,9,3,2872
data/0,10,16,mlp,4,2,sum,True,True,False,62,9,3,3472
data/0,10,16,mlp,4,4,mean,True,True,True,62,9,3,3072
data/0,10,16,mlp,4,4,mean,True,True,False,62,9,3,4272
data/0,10,16,mlp,4,4,sum,True,True,True,62,9,3,3072
data/0,10,16,mlp,4,4,sum,True,True,False,62,9,3,4272
data/0,10,16,mlp,4,1,mean,True,False,True,62,9,3,3204
data/0,10,16,mlp,4,1,mean,True,False,False,62,9,3,3504
data/0,10,16,mlp,4,1,mean,False,False,,62,9,3,3104
data/0,10,16,mlp,4,1,sum,True,False,True,62,9,3,3204
data/0,10,16,mlp,4,1,sum,True,False,False,62,9,3,3504
data/0,10,16,mlp,4,1,sum,False,False,,62,9,3,3104
data/0,10,16,mlp,4,2,mean,True,False,True,62,9,3,3304
data/0,10,16,mlp,4,2,mean,True,False,False,62,9,3,3904
data/0,10,16,mlp,4,2,sum,True,False,True,62,9,3,3304
data/0,10,16,mlp,4,2,sum,True,False,False,62,9,3,3904
data/0,10,16,mlp,4,4,mean,True,False,True,62,9,3,3504
data/0,10,16,mlp,4,4,mean,True,False,False,62,9,3,4704
data/0,10,16,mlp,4,4,sum,True,False,True,62,9,3,3504
data/0,10,16,mlp,4,4,sum,True,False,False,62,9,3,4704
data/0,10,64,transformer,1,1,,,True,,62,9,3,25920
data/0,10,64,transformer,1,2,,,True,,62,9,3,25920
data/0,10,64,transformer,1,4,,,True,,62,9,3,25920
data/0,10,64,transformer,1,1,,,False,,62,9,3,27648
data/0,10,64,transformer,1,2,,,False,,62,9,3,27648
data/0,10,64,transformer,1,4,,,False,,62,9,3,27648
data/0,10,64,transformer,2,1,,,True,,62,9,3,50880
data/0,10,64,transformer,2,2,,,True,,62,9,3,50880
data/0,10,64,transformer,2,4,,,True,,62,9,3,50880
data/0,10,64,transformer,2,1,,,False,,62,9,3,52608
data/0,10,64,transformer,2,2,,,False,,62,9,3,52608
data/0,10,64,transformer,2,4,,,False,,62,9,3,52608
data/0,10,64,transformer,4,1,,,True,,62,9,3,100800
data/0,10,64,transformer,4,2,,,True,,62,9,3,100800
data/0,10,64,transformer,4,4,,,True,,62,9,3,100800
data/0,10,64,transformer,4,1,,,False,,62,9,3,102528
data/0,10,64,transformer,4,2,,,False,,62,9,3,102528
data/0,10,64,transformer,4,4,,,False,,62,9,3,102528
data/0,10,64,mlp,1,1,mean,True,True,True,62,9,3,9636
data/0,10,64,mlp,1,1,mean,True,True,False,62,9,3,9636
data/0,10,64,mlp,1,1,mean,False,True,,62,9,3,9536
data/0,10,64,mlp,1,1,sum,True,True,True,62,9,3,9636
data/0,10,64,mlp,1,1,sum,True,True,False,62,9,3,9636
data/0,10,64,mlp,1,1,sum,False,True,,62,9,3,9536
data/0,10,64,mlp,1,2,mean,True,True,True,62,9,3,9736
data/0,10,64,mlp,1,2,mean,True,True,False,62,9,3,9736
data/0,10,64,mlp,1,2,sum,True,True,True,62,9,3,9736
data/0,10,64,mlp,1,2,sum,True,True,False,62,9,3,9736
data/0,10,64,mlp,1,4,mean,True,True,True,62,9,3,9936
data/0,10,64,mlp,1,4,mean,True,True,False,62,9,3,9936
data/0,10,64,mlp,1,4,sum,True,True,True,62,9,3,9936
data/0,10,64,mlp,1,4,sum,True,True,False,62,9,3,9936
data/0,10,64,mlp,1,1,mean,True,False,True,62,9,3,11364
data/0,10,64,mlp,1,1,mean,True,False,False,62,9,3,11364
data/0,10,64,mlp,1,1,mean,False,False,,62,9,3,11264
data/0,10,64,mlp,1,1,sum,True,False,True,62,9,3,11364
data/0,10,64,mlp,1,1,sum,True,False,False,62,9,3,11364
data/0,10,64,mlp,1,1,sum,False,False,,62,9,3,11264
data/0,10,64,mlp,1,2,mean,True,False,True,62,9,3,11464
data/0,10,64,mlp,1,2,mean,True,False,False,62,9,3,11464
data/0,10,64,mlp,1,2,sum,True,False,True,62,9,3,11464
data/0,10,64,mlp,1,2,sum,True,False,False,62,9,3,11464
data/0,10,64,mlp,1,4,mean,True,False,True,62,9,3,11664
data/0,10,64,mlp,1,4,mean,True,False,False,62,9,3,11664
data/0,10,64,mlp,1,4,sum,True,False,True,62,9,3,11664
data/0,10,64,mlp,1,4,sum,True,False,False,62,9,3,11664
data/0,10,64,mlp,2,1,mean,True,True,True,62,9,3,18212
data/0,10,64,mlp,2,1,mean,True,True,False,62,9,3,18312
data/0,10,64,mlp,2,1,mean,False,True,,62,9,3,18112
data/0,10,64,mlp,2,1,sum,True,True,True,62,9,3,18212
data/0,10,64,mlp,2,1,sum,True,True,False,62,9,3,18312
data/0,10,64,mlp,2,1,sum,False,True,,62,9,3,18112
data/0,10,64,mlp,2,2,mean,True,True,True,62,9,3,18312
data/0,10,64,mlp,2,2,mean,True,True,False,62,9,3,18512
data/0,10,64,mlp,2,2,sum,True,True,True,62,9,3,18312
data/0,10,64,mlp,2,2,sum,True,True,False,62,9,3,18512
data/0,10,64,mlp,2,4,mean,True,True,True,62,9,3,18512
data/0,10,64,mlp,2,4,mean,True,True,False,62,9,3,18912
data/0,10,64,mlp,2,4,sum,True,True,True,62,9,3,18512
data/0,10,64,mlp,2,4,sum,True,True,False,62,9,3,18912
data/0,10,64,mlp,2,1,mean,True,False,True,62,9,3,19940
data/0,10,64,mlp,2,1,mean,True,False,False,62,9,3,20040
data/0,10,64,mlp,2,1,mean,False,False,,62,9,3,19840
data/0,10,64,mlp,2,1,sum,True,False,True,62,9,3,19940
data/0,10,64,mlp,2,1,sum,True,False,False,62,9,3,20040
data/0,10,64,mlp,2,1,sum,False,False,,62,9,3,19840
data/0,10,64,mlp,2,2,mean,True,False,True,62,9,3,20040
data/0,10,64,mlp,2,2,mean,True,False,False,62,9,3,20240
data/0,10,64,mlp,2,2,sum,True,False,True,62,9,3,20040
data/0,10,64,mlp,2,2,sum,True,False,False,62,9,3,20240
data/0,10,64,mlp,2,4,mean,True,False,True,62,9,3,20240
data/0,10,64,mlp,2,4,mean,True,False,False,62,9,3,20640
data/0,10,64,mlp,2,4,sum,True,False,True,62,9,3,20240
data/0,10,64,mlp,2,4,sum,True,False,False,62,9,3,20640
data/0,10,64,mlp,4,1,mean,True,True,True,62,9,3,35364
data/0,10,64,mlp,4,1,mean,True,True,False,62,9,3,35664
data/0,10,64,mlp,4,1,mean,False,True,,62,9,3,35264
data/0,10,64,mlp,4,1,sum,True,True,True,62,9,3,35364
data/0,10,64,mlp,4,1,sum,True,True,False,62,9,3,35664
data/0,10,64,mlp,4,1,sum,False,True,,62,9,3,35264
data/0,10,64,mlp,4,2,mean,True,True,True,62,9,3,35464
data/0,10,64,mlp,4,2,mean,True,True,False,62,9,3,36064
data/0,10,64,mlp,4,2,sum,True,True,True,62,9,3,35464
data/0,10,64,mlp,4,2,sum,True,True,False,62,9,3,36064
data/0,10,64,mlp,4,4,mean,True,True,True,62,9,3,35664
data/0,10,64,mlp,4,4,mean,True,True,False,62,9,3,36864
data/0,10,64,mlp,4,4,sum,True,True,True,62,9,3,35664
data/0,10,64,mlp,4,4,sum,True,True,False,62,9,3,36864
data/0,10,64,mlp,4,1,mean,True,False,True,62,9,3,37092
data/0,10,64,mlp,4,1,mean,True,False,False,62,9,3,37392
data/0,10,64,mlp,4,1,mean,False,False,,62,9,3,36992
data/0,10,64,mlp,4,1,sum,True,False,True,62,9,3,37092
data/0,10,64,mlp,4,1,sum,True,False,False,62,9,3,37392
data/0,10,64,mlp,4,1,sum,False,False,,62,9,3,36992
data/0,10,64,mlp,4,2,mean,True,False,True,62,9,3,37192
data/0,10,64,mlp,4,2,mean,True,False,False,62,9,3,37792
data/0,10,64,mlp,4,2,sum,True,False,True,62,9,3,37192
data/0,10,64,mlp,4,2,sum,True,False,False,62,9,3,37792
data/0,10,64,mlp,4,4,mean,True,False,True,62,9,3,37392
data/0,10,64,mlp,4,4,mean,True,False,False,62,9,3,38592
data/0,10,64,mlp,4,4,sum,True,False,True,62,9,3,37392
data/0,10,64,mlp,4,4,sum,True,False,False,62,9,3,38592
data/1,10,2,transformer,1,1,,,True,,68,11,3,66
data/1,10,2,transformer,1,2,,,True,,68,11,3,66
data/1,10,2,transformer,1,1,,,False,,68,11,3,120
data/1,10,2,transformer,1,2,,,False,,68,11,3,120
data/1,10,2,transformer,2,1,,,True,,68,11,3,102
data/1,10,2,transformer,2,2,,,True,,68,11,3,102
data/1,10,2,transformer,2,1,,,False,,68,11,3,156
data/1,10,2,transformer,2,2,,,False,,68,11,3,156
data/1,10,2,transformer,4,1,,,True,,68,11,3,174
data/1,10,2,transformer,4,2,,,True,,68,11,3,174
data/1,10,2,transformer,4,1,,,False,,68,11,3,228
