datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,i_in_context,size_of_cpt,num_edges,max_parents,numparams
data/6,50,4,transformer,1,2,False,1294,116,3,1320
data/6,50,4,transformer,1,4,True,1294,116,3,1320
data/6,50,4,transformer,1,4,False,1294,116,3,1320
data/6,50,4,transformer,2,1,True,1294,116,3,1440
data/6,50,4,transformer,2,1,False,1294,116,3,1440
data/6,50,4,transformer,2,2,True,1294,116,3,1440
data/6,50,4,transformer,2,2,False,1294,116,3,1440
data/6,50,4,transformer,2,4,True,1294,116,3,1440
data/6,50,4,transformer,2,4,False,1294,116,3,1440
data/6,50,4,transformer,4,1,True,1294,116,3,1680
data/6,50,4,transformer,4,1,False,1294,116,3,1680
data/6,50,4,transformer,4,2,True,1294,116,3,1680
data/6,50,4,transformer,4,2,False,1294,116,3,1680
data/6,50,4,transformer,4,4,True,1294,116,3,1680
data/6,50,4,transformer,4,4,False,1294,116,3,1680
data/6,50,16,transformer,1,1,True,1294,116,3,6432
data/6,50,16,transformer,1,1,False,1294,116,3,6432
data/6,50,16,transformer,1,2,True,1294,116,3,6432
data/6,50,16,transformer,1,2,False,1294,116,3,6432
data/6,50,16,transformer,1,4,True,1294,116,3,6432
data/6,50,16,transformer,1,4,False,1294,116,3,6432
data/6,50,16,transformer,2,1,True,1294,116,3,8064
data/6,50,16,transformer,2,1,False,1294,116,3,8064
data/6,50,16,transformer,2,2,True,1294,116,3,8064
data/6,50,16,transformer,2,2,False,1294,116,3,8064
data/6,50,16,transformer,2,4,True,1294,116,3,8064
data/6,50,16,transformer,2,4,False,1294,116,3,8064
data/6,50,16,transformer,4,1,True,1294,116,3,11328
data/6,50,16,transformer,4,1,False,1294,116,3,11328
data/6,50,16,transformer,4,2,True,1294,116,3,11328
data/6,50,16,transformer,4,2,False,1294,116,3,11328
data/6,50,16,transformer,4,4,True,1294,116,3,11328
data/6,50,16,transformer,4,4,False,1294,116,3,11328
data/6,50,64,transformer,1,1,True,1294,116,3,44160
data/6,50,64,transformer,1,1,False,1294,116,3,44160
data/6,50,64,transformer,1,2,True,1294,116,3,44160
data/6,50,64,transformer,1,2,False,1294,116,3,44160
data/6,50,64,transformer,1,4,True,1294,116,3,44160
data/6,50,64,transformer,1,4,False,1294,116,3,44160
data/6,50,64,transformer,2,1,True,1294,116,3,69120
data/6,50,64,transformer,2,1,False,1294,116,3,69120
data/6,50,64,transformer,2,2,True,1294,116,3,69120
data/6,50,64,transformer,2,2,False,1294,116,3,69120
data/6,50,64,transformer,2,4,True,1294,116,3,69120
data/6,50,64,transformer,2,4,False,1294,116,3,69120
data/6,50,64,transformer,4,1,True,1294,116,3,119040
data/6,50,64,transformer,4,1,False,1294,116,3,119040
data/6,50,64,transformer,4,2,True,1294,116,3,119040
data/6,50,64,transformer,4,2,False,1294,116,3,119040
data/6,50,64,transformer,4,4,True,1294,116,3,119040
data/6,50,64,transformer,4,4,False,1294,116,3,119040
data/9,100,2,transformer,1,1,True,4736,268,3,1236
data/9,100,2,transformer,1,1,False,4736,268,3,1236
data/9,100,2,transformer,1,2,True,4736,268,3,1236
data/9,100,2,transformer,1,2,False,4736,268,3,1236
data/9,100,2,transformer,2,1,True,4736,268,3,1272
data/9,100,2,transformer,2,1,False,4736,268,3,1272
data/9,100,2,transformer,2,2,True,4736,268,3,1272
data/9,100,2,transformer,2,2,False,4736,268,3,1272
data/9,100,2,transformer,4,1,True,4736,268,3,1344
data/9,100,2,transformer,4,1,False,4736,268,3,1344
data/9,100,2,transformer,4,2,True,4736,268,3,1344
data/9,100,2,transformer,4,2,False,4736,268,3,1344
data/9,100,4,transformer,1,1,True,4736,268,3,2520
data/9,100,4,transformer,1,1,False,4736,268,3,2520
data/9,100,4,transformer,1,2,True,4736,268,3,2520
data/9,100,4,transformer,1,2,False,4736,268,3,2520
data/9,100,4,transformer,1,4,True,4736,268,3,2520
data/9,100,4,transformer,1,4,False,4736,268,3,2520
data/9,100,4,transformer,2,1,True,4736,268,3,2640
data/9,100,4,transformer,2,1,False,4736,268,3,2640
data/9,100,4,transformer,2,2,True,4736,268,3,2640
data/9,100,4,transformer,2,2,False,4736,268,3,2640
data/9,100,4,transformer,2,4,True,4736,268,3,2640
data/9,100,4,transformer,2,4,False,4736,268,3,2640
data/9,100,4,transformer,4,1,True,4736,268,3,2880
data/9,100,4,transformer,4,1,False,4736,268,3,2880
data/9,100,4,transformer,4,2,True,4736,268,3,2880
data/9,100,4,transformer,4,2,False,4736,268,3,2880
data/9,100,4,transformer,4,4,True,4736,268,3,2880
data/9,100,4,transformer,4,4,False,4736,268,3,2880
data/9,100,16,transformer,1,1,True,4736,268,3,11232
data/9,100,16,transformer,1,1,False,4736,268,3,11232
data/9,100,16,transformer,1,2,True,4736,268,3,11232
data/9,100,16,transformer,1,2,False,4736,268,3,11232
data/9,100,16,transformer,1,4,True,4736,268,3,11232
